,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
0,10,15,1,53298,2,669652944,False,0.0,4.0,0.0,0.8687742819893174,[]
1,10,15,1,53298,2,669652944,True,0.0,4.0,0.0,0.6692752969975118,[]
2,10,15,1,53298,1,669652944,False,1.0,32521.0,0.0,1247.0206203059934,[6]
3,10,15,1,53298,1,669652944,True,0.0,4.0,804.0,158.19526381097967,[6]
4,10,15,1,53298,2,535214420,False,0.0,4.0,0.0,0.732209932000842,[]
5,10,15,1,53298,2,535214420,True,0.0,4.0,0.0,0.7417830729973502,[]
6,10,15,1,53298,1,535214420,False,0.0,2514.0,0.0,108.05906668299576,[6]
7,10,15,1,53298,1,535214420,True,0.0,4.0,307.0,55.89404159100377,[6]
8,10,15,1,53298,2,2037209175,False,0.0,4.0,0.0,0.6130414259969257,[]
9,10,15,1,53298,2,2037209175,True,0.0,4.0,0.0,0.7826916280027945,[]
10,10,15,1,53298,1,2037209175,False,0.54,2589.0,0.0,151.74398172899964,[6]
11,10,15,1,53298,1,2037209175,True,0.0,4.0,204.0,42.118621102010366,[6]
12,10,15,1,53298,2,1767258089,False,0.0,4.0,0.0,0.8120710359944496,[]
13,10,15,1,53298,2,1767258089,True,0.0,4.0,0.0,0.8182417250063736,[]
14,10,15,1,53298,1,1767258089,False,2.3840933571058668e+23,59647.0,0.0,1282.096670658997,[6]
15,10,15,1,53298,1,1767258089,True,9999.0,,,,[6]
16,10,15,1,53298,2,309580411,False,0.0,4.0,0.0,0.6769783159834333,[]
17,10,15,1,53298,2,309580411,True,0.0,4.0,0.0,0.8297845950000919,[]
18,10,15,1,53298,1,309580411,False,209708909.3,31498.0,0.0,1173.5936992649804,[6]
19,10,15,1,53298,1,309580411,True,0.0,4.0,152.0,31.617538196995156,[6]
20,10,15,1,53298,2,74845286,False,0.0,4.0,0.0,0.8226210410066415,[]
21,10,15,1,53298,2,74845286,True,0.0,4.0,0.0,0.6104178089881316,[]
22,10,15,1,53298,1,74845286,False,0.0,493.0,0.0,29.337968476989772,[6]
23,10,15,1,53298,1,74845286,True,0.0,4.0,105.0,18.725632780988235,[6]
24,10,15,1,53298,2,2041105245,False,0.0,4.0,0.0,0.6471288180036936,[]
25,10,15,1,53298,2,2041105245,True,0.0,4.0,0.0,0.6308802269923035,[]
26,10,15,1,53298,1,2041105245,False,3.97,285.0,0.0,26.41572581397486,[6]
27,10,15,1,53298,1,2041105245,True,0.0,4.0,264.0,47.369855139026185,[6]
28,10,15,1,53298,2,1621709875,False,0.0,4.0,0.0,0.574168427992845,[]
29,10,15,1,53298,2,1621709875,True,0.0,4.0,0.0,0.65597014100058,[]
30,10,15,1,53298,1,1621709875,False,0.99,27333.0,0.0,1136.4558574489783,[6]
31,10,15,1,53298,1,1621709875,True,0.0,4.0,665.0,198.7113090409839,[6]
32,10,15,1,53298,2,1099128569,False,0.0,4.0,0.0,1.3820640350168105,[]
33,10,15,1,53298,2,1099128569,True,0.0,4.0,0.0,1.5205218650226016,[]
34,10,15,1,53298,1,1099128569,False,1.0,31890.0,0.0,1266.386277009995,[6]
35,10,15,1,53298,1,1099128569,True,9999.0,,,,[6]
36,10,15,1,53298,2,1016164991,False,0.0,4.0,0.0,0.8783371750032529,[]
37,10,15,1,53298,2,1016164991,True,0.0,4.0,0.0,0.923429310991196,[]
38,10,15,1,53298,1,1016164991,False,2.19,26083.0,0.0,1217.287977222004,[6]
39,10,15,1,53298,1,1016164991,True,9999.0,,,,[6]
40,10,15,1,11486,2,59182745,False,0.0,4.0,0.0,1.9111099589790683,[]
