,m,ncoeff,n,sparsity,seed,maxscc,guess,timetear,mintear,timescc,minscc,timeguess,minguess
0,10,0.5,15,0.5,0,2.0,2,0.0219974517822265,1.0,0.0087509155273437,2.0,0.0049953460693359,1.0
1,10,0.5,15,0.5,1,0.0,2,0.0,0.0,0.0010051727294921,0.0,0.0019130706787109,0.0
2,10,0.5,15,0.5,2,0.0,3,0.0011062622070312,0.0,0.0010108947753906,0.0,0.0,0.0
3,10,0.5,15,0.5,3,2.0,6,0.0019130706787109,1.0,0.0019149780273437,0.0,0.0051383972167968,0.0
4,10,0.5,15,0.5,4,0.0,5,0.0009994506835937,0.0,0.0009975433349609,0.0,0.0020008087158203,0.0
5,10,0.5,15,0.5,5,0.0,2,0.0,0.0,0.0009994506835937,0.0,0.0009994506835937,0.0
6,10,0.5,15,0.5,6,0.0,3,0.0,0.0,0.0,0.0,0.0010013580322265,0.0
7,10,0.5,15,0.5,7,0.0,5,0.0,0.0,0.0,0.0,0.0039997100830078,0.0
8,10,0.5,15,0.5,8,0.0,1,0.0009346008300781,0.0,0.0,0.0,0.0020809173583984,0.0
9,10,0.5,15,0.5,9,2.0,4,0.0019130706787109,1.0,0.0,0.0,0.0082721710205078,0.0
10,10,0.5,15,1.0,0,5.0,4,0.0029487609863281,1.0,0.0060844421386718,0.0,0.0030117034912109,0.0
11,10,0.5,15,1.0,1,2.0,6,0.0021953582763671,2.0,0.0029964447021484,2.0,0.0020503997802734,1.0
12,10,0.5,15,1.0,2,4.0,5,0.0022029876708984,2.0,0.0009994506835937,0.0,0.0079994201660156,0.0
13,10,0.5,15,1.0,3,2.0,5,0.0020103454589843,1.0,0.0264530181884765,0.0,0.0263271331787109,0.0
14,10,0.5,15,1.0,4,6.0,8,0.0030059814453125,1.0,0.0059986114501953,0.0,0.0160140991210937,0.0
15,10,0.5,15,1.0,5,2.0,2,0.0016899108886718,2.0,0.0050258636474609,0.0,0.0104541778564453,0.0
16,10,0.5,15,1.0,6,5.0,6,0.0018901824951171,2.0,0.003000259399414,0.0,0.0138721466064453,0.0
17,10,0.5,15,1.0,7,6.0,6,0.0039253234863281,2.0,0.2029323577880859,0.0,0.1474056243896484,0.0
18,10,0.5,15,1.0,8,6.0,4,0.0020008087158203,1.0,0.0009994506835937,0.0,0.0103721618652343,0.0
19,10,0.5,15,1.0,9,7.0,6,0.0038986206054687,2.0,0.0437126159667968,0.0,0.0939674377441406,0.0
20,10,0.5,15,1.5,0,7.0,7,0.0019989013671875,1.0,0.0060005187988281,0.0,0.0093231201171875,0.0
21,10,0.5,15,1.5,1,7.0,5,0.0111312866210937,2.0,0.2292232513427734,2.0,0.2688579559326172,1.0
22,10,0.5,15,1.5,2,3.0,6,0.0149517059326171,1.0,0.0360851287841796,0.0,0.015869140625,0.0
23,10,0.5,15,1.5,3,10.0,7,0.0124645233154296,2.0,0.0361347198486328,0.0,0.0471439361572265,0.0
24,10,0.5,15,1.5,4,8.0,5,0.0170059204101562,2.0,0.081918716430664,2.0,0.1109733581542968,1.0
25,10,0.5,15,1.5,5,10.0,6,0.0207862854003906,3.0,0.0329799652099609,0.0,0.0312538146972656,0.0
26,10,0.5,15,1.5,6,10.0,6,0.0322437286376953,3.0,0.9293537139892578,3.0,0.6707248687744141,1.0
27,10,0.5,15,1.5,7,10.0,8,0.0114288330078125,3.0,6.391252517700195,4.0,2.781087875366211,2.0
28,10,0.5,15,1.5,8,6.0,6,0.0063495635986328,2.0,0.0939311981201171,0.0,0.0250835418701171,0.0
29,10,0.5,15,1.5,9,10.0,8,0.0149269104003906,3.0,5.199047088623047,4.0,1.8337993621826167,1.0
30,10,0.1,11,0.5,0,0.0,3,0.0,0.0,0.0010356903076171,0.0,0.003021240234375,0.0
31,10,0.1,11,0.5,1,0.0,4,0.0010013580322265,0.0,0.0,0.0,0.0039997100830078,0.0
32,10,0.1,11,0.5,2,3.0,2,0.0019950866699218,1.0,0.0010013580322265,0.0,0.0009956359863281,0.0
33,10,0.1,11,0.5,3,0.0,4,0.0010013580322265,0.0,0.0010814666748046,0.0,0.0020179748535156,0.0
34,10,0.1,11,0.5,4,0.0,5,0.0,0.0,0.0,0.0,0.0019874572753906,0.0
35,10,0.1,11,0.5,5,0.0,3,0.0,0.0,0.0,0.0,0.0010833740234375,0.0
36,10,0.1,11,0.5,6,3.0,4,0.0020008087158203,1.0,0.0,0.0,0.0043106079101562,0.0
37,10,0.1,11,0.5,7,3.0,6,0.0019187927246093,1.0,0.0070667266845703,0.0,0.0070514678955078,0.0
38,10,0.1,11,0.5,8,0.0,2,0.0011482238769531,0.0,0.0,0.0,0.0011043548583984,0.0
39,10,0.1,11,0.5,9,0.0,4,0.0,0.0,0.0020866394042968,0.0,0.0060348510742187,0.0
40,10,0.1,11,1.0,0,4.0,4,0.0022964477539062,1.0,0.0049953460693359,4.0,0.0101261138916015,1.0
41,10,0.1,11,1.0,1,7.0,6,0.0028877258300781,2.0,0.0823268890380859,5.0,0.07122802734375,1.0
42,10,0.1,11,1.0,2,0.0,5,0.0009937286376953,0.0,0.0,0.0,0.0070819854736328,0.0
