,m,ncoeff,n,sparsity,seed,maxscc,minscc,time
0,10,0.1,11,0.5,0,0,0.0,0.0023918151855468
1,10,0.1,11,0.5,1,0,0.0,0.0014495849609375
2,10,0.1,11,0.5,2,3,0.0,0.0011405944824218
3,10,0.1,11,0.5,3,0,0.0,0.0003528594970703
4,10,0.1,11,0.5,4,0,0.0,0.0009078979492187
5,10,0.1,11,0.5,5,0,0.0,0.0013771057128906
6,10,0.1,11,0.5,6,3,0.0,0.0010700225830078
7,10,0.1,11,0.5,7,3,2.0,0.0082683563232421
8,10,0.1,11,0.5,8,0,0.0,0.0
9,10,0.1,11,0.5,9,0,0.0,0.0019454956054687
10,10,0.1,11,1.0,0,4,4.0,0.0069999694824218
11,10,0.1,11,1.0,1,7,5.0,0.0410099029541015
12,10,0.1,11,1.0,2,0,0.0,0.0
13,10,0.1,11,1.0,3,7,2.0,0.0080223083496093
14,10,0.1,11,1.0,4,8,5.0,0.0235710144042968
15,10,0.1,11,1.0,5,4,3.0,0.0079593658447265
16,10,0.1,11,1.0,6,10,9.0,0.0240039825439453
17,10,0.1,11,1.0,7,9,7.0,0.0240192413330078
18,10,0.1,11,1.0,8,6,3.0,0.0039939880371093
19,10,0.1,11,1.0,9,8,7.0,0.079986572265625
20,10,0.1,11,1.5,0,10,9.0,0.0465526580810546
21,10,0.1,11,1.5,1,10,9.0,0.4683780670166015
22,10,0.1,11,1.5,2,9,8.0,0.1036930084228515
23,10,0.1,11,1.5,3,8,7.0,0.1043682098388671
24,10,0.1,11,1.5,4,10,9.0,0.1922531127929687
25,10,0.1,11,1.5,5,9,6.0,0.0855560302734375
26,10,0.1,11,1.5,6,10,8.0,0.1454296112060547
27,10,0.1,11,1.5,7,9,8.0,0.5180816650390625
28,10,0.1,11,1.5,8,8,7.0,0.0925579071044921
29,10,0.1,11,1.5,9,10,9.0,0.6293563842773438
30,10,0.2,12,0.5,0,0,0.0,0.0
31,10,0.2,12,0.5,1,2,0.0,0.0005035400390625
32,10,0.2,12,0.5,2,0,0.0,0.001260757446289
33,10,0.2,12,0.5,3,0,0.0,0.0010337829589843
34,10,0.2,12,0.5,4,2,2.0,0.0102462768554687
35,10,0.2,12,0.5,5,2,2.0,0.0059757232666015
36,10,0.2,12,0.5,6,0,0.0,0.0019989013671875
37,10,0.2,12,0.5,7,0,0.0,0.0033454895019531
38,10,0.2,12,0.5,8,0,0.0,0.0009975433349609
39,10,0.2,12,0.5,9,9,4.0,0.0209732055664062
40,10,0.2,12,1.0,0,3,2.0,0.0060005187988281
41,10,0.2,12,1.0,1,7,4.0,0.0171489715576171
42,10,0.2,12,1.0,2,6,3.0,0.0191593170166015
43,10,0.2,12,1.0,3,8,5.0,0.0630035400390625
44,10,0.2,12,1.0,4,3,3.0,0.0180225372314453
45,10,0.2,12,1.0,5,3,2.0,0.0100479125976562
46,10,0.2,12,1.0,6,8,3.0,0.0166740417480468
47,10,0.2,12,1.0,7,8,6.0,0.3197898864746094
48,10,0.2,12,1.0,8,6,4.0,0.0245895385742187
49,10,0.2,12,1.0,9,10,4.0,0.013092041015625
50,10,0.2,12,1.5,0,8,5.0,0.0519981384277343
51,10,0.2,12,1.5,1,10,8.0,2.1977787017822266
52,10,0.2,12,1.5,2,9,5.0,0.1023368835449218
53,10,0.2,12,1.5,3,8,6.0,0.1526145935058593
54,10,0.2,12,1.5,4,10,5.0,0.0444183349609375
55,10,0.2,12,1.5,5,7,5.0,0.0564422607421875
56,10,0.2,12,1.5,6,9,7.0,0.1051979064941406
57,10,0.2,12,1.5,7,10,9.0,4.8504486083984375
58,10,0.2,12,1.5,8,8,4.0,0.1143569946289062
59,10,0.2,12,1.5,9,10,7.0,0.7667121887207031
60,10,0.5,15,0.5,0,2,2.0,0.0061855316162109
61,10,0.5,15,0.5,1,0,0.0,0.000925064086914
62,10,0.5,15,0.5,2,0,0.0,0.0012493133544921
63,10,0.5,15,0.5,3,2,0.0,0.0040016174316406
64,10,0.5,15,0.5,4,0,0.0,0.0009117126464843
65,10,0.5,15,0.5,5,0,0.0,0.0019989013671875
66,10,0.5,15,0.5,6,0,0.0,0.0009994506835937
67,10,0.5,15,0.5,7,0,0.0,0.0009975433349609
68,10,0.5,15,0.5,8,0,0.0,0.0012321472167968
69,10,0.5,15,0.5,9,2,0.0,0.000457763671875
70,10,0.5,15,1.0,0,5,1.0,0.0084609985351562
71,10,0.5,15,1.0,1,2,2.0,0.0034446716308593
72,10,0.5,15,1.0,2,4,0.0,0.0011978149414062
73,10,0.5,15,1.0,3,2,2.0,0.0139026641845703
74,10,0.5,15,1.0,4,6,0.0,0.0085506439208984
75,10,0.5,15,1.0,5,2,0.0,0.0065555572509765
76,10,0.5,15,1.0,6,5,0.0,0.0041007995605468
77,10,0.5,15,1.0,7,6,2.0,0.0363922119140625
78,10,0.5,15,1.0,8,6,0.0,0.0012683868408203
79,10,0.5,15,1.0,9,7,3.0,0.0971260070800781
80,10,0.5,15,1.5,0,7,0.0,0.0089797973632812
81,10,0.5,15,1.5,1,7,2.0,0.061929702758789
82,10,0.5,15,1.5,2,3,1.0,0.0223598480224609
83,10,0.5,15,1.5,3,10,2.0,0.0287857055664062
84,10,0.5,15,1.5,4,8,3.0,0.1091823577880859
85,10,0.5,15,1.5,5,10,3.0,0.0105915069580078
86,10,0.5,15,1.5,6,10,4.0,0.1906986236572265
87,10,0.5,15,1.5,7,10,6.0,4.027301788330078
88,10,0.5,15,1.5,8,6,2.0,0.1473388671875
89,10,0.5,15,1.5,9,10,6.0,2.4164695739746094
90,20,0.1,22,0.5,0,4,1.0,0.0239124298095703
91,20,0.1,22,0.5,1,0,0.0,0.0029983520507812
92,20,0.1,22,0.5,2,2,2.0,0.0072364807128906
93,20,0.1,22,0.5,3,0,0.0,0.0058841705322265
94,20,0.1,22,0.5,4,3,3.0,0.0097885131835937
95,20,0.1,22,0.5,5,0,0.0,0.0038337707519531
96,20,0.1,22,0.5,6,3,3.0,0.0161323547363281
97,20,0.1,22,0.5,7,0,0.0,0.0027942657470703
98,20,0.1,22,0.5,8,0,0.0,0.0012245178222656
99,20,0.1,22,0.5,9,5,4.0,0.0136928558349609
100,20,0.1,22,1.0,0,10,8.0,0.0438671112060546
101,20,0.1,22,1.0,1,15,10.0,0.1883735656738281
102,20,0.1,22,1.0,2,9,5.0,0.0276298522949218
103,20,0.1,22,1.0,3,15,11.0,0.1064643859863281
104,20,0.1,22,1.0,4,13,4.0,0.0313320159912109
105,20,0.1,22,1.0,5,9,6.0,0.0513267517089843
106,20,0.1,22,1.0,6,17,6.0,0.0846824645996093
107,20,0.1,22,1.0,7,18,14.0,0.2453155517578125
108,20,0.1,22,1.0,8,2,1.0,0.0053081512451171
109,20,0.1,22,1.0,9,18,14.0,4.158163070678711
110,20,0.1,22,1.5,0,19,16.0,1.0323200225830078
111,20,0.1,22,1.5,1,19,15.0,7.251113891601562
112,20,0.1,22,1.5,2,16,7.0,0.1081886291503906
113,20,0.1,22,1.5,3,15,13.0,0.3976478576660156
114,20,0.1,22,1.5,4,18,12.0,1.3521137237548828
115,20,0.1,22,1.5,5,15,12.0,3.297035217285156
116,20,0.1,22,1.5,6,19,16.0,24.717788696289062
117,20,0.1,22,1.5,7,17,999.0,116.04521942138672
118,20,0.1,22,1.5,8,18,16.0,3.4951133728027344
119,20,0.1,22,1.5,9,17,17.0,12.699045181274414
120,20,0.2,24,0.5,0,0,2.0,0.0
121,20,0.2,24,0.5,1,0,0.0,0.0157051086425781
122,20,0.2,24,0.5,2,0,0.0,0.0
123,20,0.2,24,0.5,3,4,3.0,0.0135116577148437
124,20,0.2,24,0.5,4,0,0.0,0.0157299041748046
125,20,0.2,24,0.5,5,4,4.0,0.0
126,20,0.2,24,0.5,6,0,0.0,0.0
127,20,0.2,24,0.5,7,4,2.0,0.0156059265136718
