,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
0,10,15,1,53298,2,669652944,False,25.0,46.0,0.0,3.1609770999998545,[2]
1,10,15,1,53298,2,669652944,True,0.0,4.0,804.0,20.21313410000039,[2]
2,10,15,1,53298,1,669652944,False,3610643.56,110.0,0.0,6.300455900000088,[6]
3,10,15,1,53298,1,669652944,True,0.0,4.0,804.0,81.5521346999999,[6]
4,10,15,1,53298,2,535214420,False,0.0,9.0,0.0,0.9075741000001472,[2]
5,10,15,1,53298,2,535214420,True,0.0,4.0,14.0,0.6131811999998718,[2]
6,10,15,1,53298,1,535214420,False,3.33,95.0,0.0,11.421887999999853,[6]
7,10,15,1,53298,1,535214420,True,0.0,4.0,261.0,26.650843899999927,[6]
8,10,15,1,53298,2,2037209175,False,482569844738.6,114.0,0.0,7.680079900000237,[2]
9,10,15,1,53298,2,2037209175,True,9999.0,,,,[2]
10,10,15,1,53298,1,2037209175,False,2201.92,170.0,0.0,12.335020800000166,[6]
11,10,15,1,53298,1,2037209175,True,0.0,4.0,204.0,20.604574100000264,[6]
12,10,15,1,53298,2,1767258089,False,0.11,55.0,0.0,4.521861400000034,[2]
13,10,15,1,53298,2,1767258089,True,0.0,4.0,804.0,20.035772700000052,[2]
14,10,15,1,53298,1,1767258089,False,2230.54,333.0,0.0,19.995749499999874,[6]
15,10,15,1,53298,1,1767258089,True,9999.0,,,,[6]
16,10,15,1,53298,2,309580411,False,0.25,70.0,0.0,5.907765799999652,[2]
17,10,15,1,53298,2,309580411,True,0.0,4.0,804.0,19.645305800000187,[2]
18,10,15,1,53298,1,309580411,False,1.0,308.0,0.0,31.90613570000005,[6]
19,10,15,1,53298,1,309580411,True,9999.0,,,,[6]
20,10,15,1,53298,2,74845286,False,0.0,13.0,0.0,1.6919425000000956,[2]
21,10,15,1,53298,2,74845286,True,0.0,4.0,16.0,0.5923425999999381,[2]
22,10,15,1,53298,1,74845286,False,0.88,72.0,0.0,7.781132999999954,[6]
23,10,15,1,53298,1,74845286,True,0.0,4.0,62.0,6.169580499999938,[6]
24,10,15,1,53298,2,2041105245,False,0.29,21.0,0.0,2.6608932000003733,[2]
25,10,15,1,53298,2,2041105245,True,0.0,4.0,804.0,20.50394709999955,[2]
26,10,15,1,53298,1,2041105245,False,0.0,163.0,0.0,16.160997299999963,[6]
27,10,15,1,53298,1,2041105245,True,0.0,4.0,329.0,33.37162820000003,[6]
28,10,15,1,53298,2,1621709875,False,2238350.43,208.0,0.0,18.202569399999902,[2]
29,10,15,1,53298,2,1621709875,True,9999.0,,,,[2]
30,10,15,1,53298,1,1621709875,False,93445.26,58.0,0.0,5.275213399999757,[6]
31,10,15,1,53298,1,1621709875,True,0.0,4.0,484.0,48.22122070000023,[6]
32,10,15,1,53298,2,1099128569,False,14.44,165.0,0.0,15.413010199999917,[2]
33,10,15,1,53298,2,1099128569,True,9999.0,,,,[2]
34,10,15,1,53298,1,1099128569,False,10529.8,31.0,0.0,2.560941499999899,[6]
35,10,15,1,53298,1,1099128569,True,9999.0,,,,[6]
36,10,15,1,53298,2,1016164991,False,5864375104103.19,86.0,0.0,7.591238900000008,[2]
37,10,15,1,53298,2,1016164991,True,9999.0,,,,[2]
38,10,15,1,53298,1,1016164991,False,4596899826279631.0,169.0,0.0,8.555680500000108,[6]
39,10,15,1,53298,1,1016164991,True,9999.0,,,,[6]
40,10,15,1,11486,2,59182745,False,0.0,4.0,0.0,0.7059709000000112,[]
41,10,15,1,11486,2,59182745,True,0.0,4.0,0.0,0.319853299999977,[]
