,m,ncoeff,n,sparsity,seed,maxscc,guess,timeMINFAS,MINFAS,timetearpart,mintearpart,timetearfull,mintearfull,timescc,minscc,density
0,10,0.1,11,3,0,10.0,6.0,0.0042057037353515,3.0,0.0295581817626953,1.0,0.021087646484375,1.0,0.0127029418945312,4.0,3.2
1,10,0.1,11,3,1,10.0,4.0,0.0096931457519531,2.0,0.3296089172363281,2.0,0.6729145050048828,2.0,0.0395641326904296,9.0,4.1
2,10,0.1,11,3,2,10.0,5.0,0.0039997100830078,2.0,0.0722312927246093,1.0,0.0732498168945312,0.0,0.0038261413574218,0.0,3.7
3,10,0.1,11,3,3,10.0,8.0,0.0146923065185546,4.0,0.2478542327880859,2.0,0.331308364868164,2.0,0.0411128997802734,9.0,3.7
4,10,0.1,11,3,4,8.0,7.0,0.0049991607666015,3.0,0.24737548828125,2.0,0.3037586212158203,2.0,0.0324878692626953,6.0,4.1
5,10,0.1,11,3,5,9.0,7.0,0.0123367309570312,3.0,0.2731437683105469,3.0,0.5395336151123047,3.0,0.0476818084716796,9.0,3.6
6,10,0.1,11,3,6,10.0,8.0,0.0146846771240234,3.0,0.1644287109375,2.0,0.2085857391357422,2.0,0.0320377349853515,9.0,3.7
7,10,0.1,11,3,7,8.0,7.0,0.0099658966064453,3.0,0.4818363189697265,2.0,0.7787075042724609,2.0,0.0478248596191406,7.0,4.6
8,10,0.1,11,3,8,8.0,5.0,0.0059986114501953,3.0,0.0657997131347656,1.0,0.0768260955810546,1.0,0.0,5.0,3.7
9,10,0.1,11,3,9,9.0,6.0,0.0183563232421875,3.0,0.9192543029785156,3.0,0.64361572265625,2.0,0.0291633605957031,7.0,4.1
10,10,0.1,11,4,0,9.0,6.0,0.0093822479248046,3.0,0.3828926086425781,2.0,0.4123611450195312,2.0,0.0344409942626953,8.0,4.0
11,10,0.1,11,4,1,9.0,8.0,0.0109500885009765,4.0,0.9536151885986328,3.0,1.3198585510253906,3.0,0.0848922729492187,9.0,4.6
12,10,0.1,11,4,2,9.0,8.0,0.0129985809326171,3.0,0.5370826721191406,3.0,0.7141838073730469,2.0,0.0320491790771484,9.0,4.2
13,10,0.1,11,4,3,9.0,8.0,0.019998550415039,4.0,1.2007980346679688,3.0,0.4153003692626953,2.0,0.0339679718017578,7.0,4.4
14,10,0.1,11,4,4,10.0,8.0,0.0250301361083984,4.0,1.0556297302246094,3.0,1.2802371978759766,3.0,0.0997772216796875,10.0,4.4
15,10,0.1,11,4,5,9.0,5.0,0.0100955963134765,3.0,0.4763336181640625,2.0,0.3865318298339844,2.0,0.0314292907714843,8.0,4.1
16,10,0.1,11,4,6,10.0,8.0,0.0239944458007812,3.0,0.984670639038086,3.0,1.9928226470947263,3.0,0.1260318756103515,10.0,4.7
17,10,0.1,11,4,7,10.0,8.0,0.078805923461914,5.0,10.329193115234377,4.0,6.37873649597168,3.0,0.646453857421875,10.0,5.8
18,10,0.1,11,4,8,10.0,7.0,0.0552406311035156,4.0,2.845306396484375,3.0,1.4038829803466797,2.0,0.1341838836669922,10.0,4.7
19,10,0.1,11,4,9,10.0,7.0,0.0475311279296875,5.0,4.670534133911133,4.0,3.484580993652344,3.0,0.1641311645507812,10.0,5.1
20,10,0.1,11,5,0,10.0,7.0,0.0375652313232421,5.0,4.126546859741211,3.0,3.022891998291016,3.0,0.1468219757080078,10.0,5.1
21,10,0.1,11,5,1,10.0,9.0,0.0642318725585937,5.0,7.571462631225586,4.0,8.73187255859375,4.0,0.9574642181396484,10.0,5.6
22,10,0.1,11,5,2,10.0,7.0,0.0326156616210937,4.0,4.056131362915039,4.0,3.308523178100586,3.0,0.4119987487792969,10.0,5.1
23,10,0.1,11,5,3,10.0,9.0,0.015909194946289,4.0,2.50750732421875,3.0,3.5721492767333984,3.0,0.4306259155273437,10.0,5.2
24,10,0.1,11,5,4,10.0,8.0,0.0435657501220703,5.0,10.38525390625,4.0,14.096979141235352,4.0,1.1736946105957031,10.0,5.9
25,10,0.1,11,5,5,10.0,6.0,0.0272903442382812,5.0,5.997800827026367,4.0,4.8443603515625,3.0,0.177011489868164,10.0,4.9
26,10,0.1,11,5,6,10.0,7.0,0.0639667510986328,5.0,7.229835510253906,4.0,10.765697479248049,4.0,1.3052043914794922,10.0,5.5
27,10,0.1,11,5,7,10.0,9.0,0.0667629241943359,5.0,7.569700241088867,4.0,13.234485626220703,4.0,2.2516746520996094,10.0,6.3
28,10,0.1,11,5,8,10.0,7.0,0.0919551849365234,6.0,6.8241729736328125,4.0,4.755849838256836,3.0,0.5468349456787109,10.0,5.5
29,10,0.1,11,5,9,10.0,8.0,0.0904674530029296,5.0,16.17736053466797,4.0,18.181724548339844,4.0,3.063976287841797,10.0,6.4
30,10,0.2,12,3,0,9.0,7.0,0.0059986114501953,2.0,0.0962295532226562,2.0,0.0473079681396484,1.0,0.0314826965332031,2.0,3.2
31,10,0.2,12,3,1,10.0,5.0,0.0276165008544921,4.0,1.071210861206055,3.0,1.2740459442138672,2.0,0.0801658630371093,6.0,4.4
32,10,0.2,12,3,2,3.0,4.0,0.001983642578125,1.0,0.0306243896484375,1.0,0.0623836517333984,0.0,0.0022201538085937,0.0,3.5
