,m,ncoeff,n,sparsity,seed,poly_seed,prob_type,mdf,maxscc,fobj,solveriter,optiter,time
0,10,0.5,15,1.0,0,0,2,True,0,[0.],0,4,1.19753209999908
1,10,0.5,15,1.0,0,0,2,False,0,[0.],0,4,1.2706172000016522
2,10,0.5,15,1.0,0,0,1,True,5,[111.34680136],532,41,146.02999610000006
3,10,0.5,15,1.0,0,0,1,False,5,[3.1180551],0,187,51.34190810000109
4,10,0.5,15,1.0,0,1,2,True,0,[0.],0,4,1.4484846999985166
5,10,0.5,15,1.0,0,1,2,False,0,[0.],0,4,1.4205713999999716
6,10,0.5,15,1.0,0,1,1,True,5,999,,,
7,10,0.5,15,1.0,0,1,1,False,5,[153.42092625],0,199,44.61288500000046
8,10,0.5,15,1.0,0,2,2,True,0,[0.],0,4,1.3705638999999792
9,10,0.5,15,1.0,0,2,2,False,0,[0.],0,4,1.6279307000004337
10,10,0.5,15,1.0,0,2,1,True,5,999,,,
11,10,0.5,15,1.0,0,2,1,False,5,[5157.4971835],0,272,84.95716300000095
12,10,0.5,15,1.0,0,3,2,True,0,[0.],0,4,1.5842154000001756
13,10,0.5,15,1.0,0,3,2,False,0,[0.],0,4,1.590329799999381
14,10,0.5,15,1.0,0,3,1,True,5,999,,,
15,10,0.5,15,1.0,0,3,1,False,5,[1.41287806],0,245,90.35099330000048
16,10,0.5,15,1.0,0,4,2,True,0,[0.],0,4,0.5365854999981821
17,10,0.5,15,1.0,0,4,2,False,0,[0.],0,4,0.5906843999982812
18,10,0.5,15,1.0,0,4,1,True,5,999,,,
19,10,0.5,15,1.0,0,4,1,False,5,[1.11168927],0,187,26.22309420000238
20,10,0.5,15,1.0,0,5,2,True,0,[0.],0,4,0.6041189000025042
21,10,0.5,15,1.0,0,5,2,False,0,[0.],0,4,0.8169944000037503
22,10,0.5,15,1.0,0,5,1,True,5,999,,,
23,10,0.5,15,1.0,0,5,1,False,5,[1319727.20858889],0,167,15.012809499996365
24,10,0.5,15,1.0,0,6,2,True,0,[0.],0,4,0.5778844000014942
25,10,0.5,15,1.0,0,6,2,False,0,[0.],0,4,0.6075682999944547
26,10,0.5,15,1.0,0,6,1,True,5,999,,,
27,10,0.5,15,1.0,0,6,1,False,5,[1.00030613],0,269,48.57989299999463
28,10,0.5,15,1.0,0,7,2,True,0,[0.],0,4,0.4803484000003664
29,10,0.5,15,1.0,0,7,2,False,0,[0.],0,4,0.5377726000006078
30,10,0.5,15,1.0,0,7,1,True,5,999,,,
31,10,0.5,15,1.0,0,7,1,False,5,[19468.15495337],0,335,30.95025899999746
32,10,0.5,15,1.0,0,8,2,True,0,[0.],0,4,0.4987302999943495
33,10,0.5,15,1.0,0,8,2,False,0,[0.],0,4,0.5770708999989438
34,10,0.5,15,1.0,0,8,1,True,5,999,,,
35,10,0.5,15,1.0,0,8,1,False,5,[23322.29194711],0,97,10.3228919999965
36,10,0.5,15,1.0,0,9,2,True,0,[0.],0,4,0.6508642999979202
37,10,0.5,15,1.0,0,9,2,False,0,[0.],0,4,0.665035900005023
38,10,0.5,15,1.0,0,9,1,True,5,999,,,
39,10,0.5,15,1.0,0,9,1,False,5,[7.3817499e+13],0,358,28.70282690000022
40,10,0.5,15,1.0,1,0,2,True,2,[0.],804,4,33.195398199997726
41,10,0.5,15,1.0,1,0,2,False,2,[3995624.73581958],0,383,44.63256069999625
42,10,0.5,15,1.0,1,0,1,True,2,999,,,
43,10,0.5,15,1.0,1,0,1,False,2,[22618.32614422],0,392,37.13024459999724
44,10,0.5,15,1.0,1,1,2,True,2,[0.],9,4,0.8052295000015874
45,10,0.5,15,1.0,1,1,2,False,2,[4.92432976e-21],0,10,1.8958197999963886
46,10,0.5,15,1.0,1,1,1,True,2,[0.20398405],407,54,21.143147300004784
47,10,0.5,15,1.0,1,1,1,False,2,[5.88337316e-10],0,64,10.85163769999781
48,10,0.5,15,1.0,1,2,2,True,2,[0.],9,4,0.7782007000059821
49,10,0.5,15,1.0,1,2,2,False,2,[1.26223218e-21],0,10,1.9631864999973914
50,10,0.5,15,1.0,1,2,1,True,2,[82.94634475],73,13,3.0509390000006533
51,10,0.5,15,1.0,1,2,1,False,2,[1.00050227],0,212,40.734967600001255
52,10,0.5,15,1.0,1,3,2,True,2,999,,,
53,10,0.5,15,1.0,1,3,2,False,2,[3935509.33061501],0,386,52.84010860000126
54,10,0.5,15,1.0,1,3,1,True,2,1.518993653768003e+250,406,2,18.50838840000506
55,10,0.5,15,1.0,1,3,1,False,2,[2051.8517118],0,179,18.310154499995406
56,10,0.5,15,1.0,1,4,2,True,2,999,,,
57,10,0.5,15,1.0,1,4,2,False,2,[8.59631757e-08],0,382,45.65298819999589
58,10,0.5,15,1.0,1,4,1,True,2,999,,,
59,10,0.5,15,1.0,1,4,1,False,2,[1144595.85523255],0,281,32.5098610999994
60,10,0.5,15,1.0,1,5,2,True,2,[0.],804,4,36.517697399998724
61,10,0.5,15,1.0,1,5,2,False,2,[9.1413229e+08],0,304,39.9895503000007
62,10,0.5,15,1.0,1,5,1,True,2,999,,,
63,10,0.5,15,1.0,1,5,1,False,2,[16453.85460239],0,106,11.726218400006474
64,10,0.5,15,1.0,1,6,2,True,2,999,,,
65,10,0.5,15,1.0,1,6,2,False,2,[1.12488626e-05],0,398,55.42229539999971
66,10,0.5,15,1.0,1,6,1,True,2,999,,,
67,10,0.5,15,1.0,1,6,1,False,2,[25395.91895331],0,248,33.90899009999703
68,10,0.5,15,1.0,1,7,2,True,2,999,,,
69,10,0.5,15,1.0,1,7,2,False,2,[7.32172348e-08],0,398,51.034171599996625
70,10,0.5,15,1.0,1,7,1,True,2,999,,,
71,10,0.5,15,1.0,1,7,1,False,2,[583.35970881],0,287,35.93661649999558
72,10,0.5,15,1.0,1,8,2,True,2,999,,,
73,10,0.5,15,1.0,1,8,2,False,2,[119629.46337254],0,98,9.097429500005092
74,10,0.5,15,1.0,1,8,1,True,2,2.9044969535196826e+204,406,2,19.7574825000047
75,10,0.5,15,1.0,1,8,1,False,2,[8.31844677e+08],0,50,7.075476499994693
76,10,0.5,15,1.0,1,9,2,True,2,[0.],804,4,36.86194969999633
77,10,0.5,15,1.0,1,9,2,False,2,[70.89391144],0,429,50.02365860000282
78,10,0.5,15,1.0,1,9,1,True,2,999,,,
79,10,0.5,15,1.0,1,9,1,False,2,[9963033.4770946],0,50,3.9989103999978397
80,10,0.5,15,1.0,2,0,2,True,0,[0.],0,4,0.7002905999979703
81,10,0.5,15,1.0,2,0,2,False,0,[0.],0,4,0.6583783000023686
82,10,0.5,15,1.0,2,0,1,True,4,999,,,
83,10,0.5,15,1.0,2,0,1,False,4,[2.08398856],0,65,13.800264099998458
84,10,0.5,15,1.0,2,1,2,True,0,[0.],0,4,0.5587635999982012
85,10,0.5,15,1.0,2,1,2,False,0,[0.],0,4,0.5993222000033711
86,10,0.5,15,1.0,2,1,1,True,4,999,,,
87,10,0.5,15,1.0,2,1,1,False,4,[102.53266804],0,151,20.22757719999936
88,10,0.5,15,1.0,2,2,2,True,0,[0.],0,4,0.5738563999984763
89,10,0.5,15,1.0,2,2,2,False,0,[0.],0,4,0.653161900001578
90,10,0.5,15,1.0,2,2,1,True,4,[3.27524395],2126,37,209.84503270000278
